"month","day","rise","rise_day","set","set_day"
"1","1","0535","SAME","2002","SAME"
"1","2","0536","SAME","2003","SAME"
"1","3","0536","SAME","2003","SAME"
"1","4","0537","SAME","2003","SAME"
"1","5","0538","SAME","2003","SAME"
"1","6","0539","SAME","2003","SAME"
"1","7","0540","SAME","2003","SAME"
"1","8","0540","SAME","2003","SAME"
"1","9","0541","SAME","2003","SAME"
"1","10","0542","SAME","2003","SAME"
"1","11","0543","SAME","2003","SAME"
"1","12","0544","SAME","2003","SAME"
"1","13","0545","SAME","2002","SAME"
"1","14","0546","SAME","2002","SAME"
"1","15","0547","SAME","2002","SAME"
"1","16","0548","SAME","2002","SAME"
"1","17","0549","SAME","2001","SAME"
"1","18","0550","SAME","2001","SAME"
"1","19","0551","SAME","2001","SAME"
"1","20","0552","SAME","2000","SAME"
"1","21","0553","SAME","2000","SAME"
"1","22","0554","SAME","2000","SAME"
"1","23","0555","SAME","1959","SAME"
"1","24","0556","SAME","1959","SAME"
"1","25","0557","SAME","1958","SAME"
"1","26","0558","SAME","1957","SAME"
"1","27","0559","SAME","1957","SAME"
"1","28","0600","SAME","1956","SAME"
"1","29","0601","SAME","1956","SAME"
"1","30","0602","SAME","1955","SAME"
"1","31","0603","SAME","1954","SAME"
"2","1","0604","SAME","1953","SAME"
"2","2","0605","SAME","1953","SAME"
"2","3","0606","SAME","1952","SAME"
"2","4","0607","SAME","1951","SAME"
"2","5","0608","SAME","1950","SAME"
"2","6","0609","SAME","1949","SAME"
"2","7","0610","SAME","1949","SAME"
"2","8","0611","SAME","1948","SAME"
"2","9","0612","SAME","1947","SAME"
"2","10","0613","SAME","1946","SAME"
"2","11","0614","SAME","1945","SAME"
"2","12","0615","SAME","1944","SAME"
"2","13","0616","SAME","1943","SAME"
"2","14","0617","SAME","1942","SAME"
"2","15","0618","SAME","1941","SAME"
"2","16","0619","SAME","1940","SAME"
"2","17","0620","SAME","1938","SAME"
"2","18","0621","SAME","1937","SAME"
"2","19","0622","SAME","1936","SAME"
"2","20","0623","SAME","1935","SAME"
"2","21","0624","SAME","1934","SAME"
"2","22","0625","SAME","1933","SAME"
"2","23","0626","SAME","1932","SAME"
"2","24","0627","SAME","1930","SAME"
"2","25","0628","SAME","1929","SAME"
"2","26","0629","SAME","1928","SAME"
"2","27","0630","SAME","1927","SAME"
"2","28","0631","SAME","1925","SAME"
"2","29","0632","SAME","1924","SAME"
"3","1","0633","SAME","1923","SAME"
"3","2","0633","SAME","1922","SAME"
"3","3","0634","SAME","1920","SAME"
"3","4","0635","SAME","1919","SAME"
"3","5","0636","SAME","1918","SAME"
"3","6","0637","SAME","1916","SAME"
"3","7","0638","SAME","1915","SAME"
"3","8","0639","SAME","1914","SAME"
"3","9","0640","SAME","1912","SAME"
"3","10","0640","SAME","1911","SAME"
"3","11","0641","SAME","1910","SAME"
"3","12","0642","SAME","1908","SAME"
"3","13","0643","SAME","1907","SAME"
"3","14","0644","SAME","1905","SAME"
"3","15","0645","SAME","1904","SAME"
"3","16","0645","SAME","1903","SAME"
"3","17","0646","SAME","1901","SAME"
"3","18","0647","SAME","1900","SAME"
"3","19","0648","SAME","1858","SAME"
"3","20","0649","SAME","1857","SAME"
"3","21","0649","SAME","1856","SAME"
"3","22","0650","SAME","1854","SAME"
"3","23","0651","SAME","1853","SAME"
"3","24","0652","SAME","1851","SAME"
"3","25","0653","SAME","1850","SAME"
"3","26","0653","SAME","1849","SAME"
"3","27","0654","SAME","1847","SAME"
"3","28","0655","SAME","1846","SAME"
"3","29","0656","SAME","1845","SAME"
"3","30","0657","SAME","1843","SAME"
"3","31","0657","SAME","1842","SAME"
"4","1","0658","SAME","1840","SAME"
"4","2","0659","SAME","1839","SAME"
"4","3","0700","SAME","1838","SAME"
"4","4","0701","SAME","1836","SAME"
"4","5","0701","SAME","1835","SAME"
"4","6","0702","SAME","1834","SAME"
"4","7","0703","SAME","1832","SAME"
"4","8","0704","SAME","1831","SAME"
"4","9","0704","SAME","1830","SAME"
"4","10","0705","SAME","1828","SAME"
"4","11","0706","SAME","1827","SAME"
"4","12","0707","SAME","1826","SAME"
"4","13","0708","SAME","1824","SAME"
"4","14","0708","SAME","1823","SAME"
"4","15","0709","SAME","1822","SAME"
"4","16","0710","SAME","1820","SAME"
"4","17","0711","SAME","1819","SAME"
"4","18","0712","SAME","1818","SAME"
"4","19","0712","SAME","1817","SAME"
"4","20","0713","SAME","1816","SAME"
"4","21","0714","SAME","1814","SAME"
"4","22","0715","SAME","1813","SAME"
"4","23","0716","SAME","1812","SAME"
"4","24","0716","SAME","1811","SAME"
"4","25","0717","SAME","1810","SAME"
"4","26","0718","SAME","1809","SAME"
"4","27","0719","SAME","1807","SAME"
"4","28","0719","SAME","1806","SAME"
"4","29","0720","SAME","1805","SAME"
"4","30","0721","SAME","1804","SAME"
"5","1","0722","SAME","1803","SAME"
"5","2","0723","SAME","1802","SAME"
"5","3","0723","SAME","1801","SAME"
"5","4","0724","SAME","1800","SAME"
"5","5","0725","SAME","1759","SAME"
"5","6","0726","SAME","1758","SAME"
"5","7","0727","SAME","1757","SAME"
"5","8","0727","SAME","1756","SAME"
"5","9","0728","SAME","1756","SAME"
"5","10","0729","SAME","1755","SAME"
"5","11","0730","SAME","1754","SAME"
"5","12","0730","SAME","1753","SAME"
"5","13","0731","SAME","1752","SAME"
"5","14","0732","SAME","1752","SAME"
"5","15","0733","SAME","1751","SAME"
"5","16","0734","SAME","1750","SAME"
"5","17","0734","SAME","1749","SAME"
"5","18","0735","SAME","1749","SAME"
"5","19","0736","SAME","1748","SAME"
"5","20","0736","SAME","1747","SAME"
"5","21","0737","SAME","1747","SAME"
"5","22","0738","SAME","1746","SAME"
"5","23","0739","SAME","1746","SAME"
"5","24","0739","SAME","1745","SAME"
"5","25","0740","SAME","1745","SAME"
"5","26","0741","SAME","1744","SAME"
"5","27","0741","SAME","1744","SAME"
"5","28","0742","SAME","1743","SAME"
"5","29","0743","SAME","1743","SAME"
"5","30","0743","SAME","1743","SAME"
"5","31","0744","SAME","1742","SAME"
"6","1","0745","SAME","1742","SAME"
"6","2","0745","SAME","1742","SAME"
"6","3","0746","SAME","1741","SAME"
"6","4","0746","SAME","1741","SAME"
"6","5","0747","SAME","1741","SAME"
"6","6","0747","SAME","1741","SAME"
"6","7","0748","SAME","1741","SAME"
"6","8","0748","SAME","1741","SAME"
"6","9","0749","SAME","1741","SAME"
"6","10","0749","SAME","1740","SAME"
"6","11","0750","SAME","1740","SAME"
"6","12","0750","SAME","1740","SAME"
"6","13","0751","SAME","1740","SAME"
"6","14","0751","SAME","1740","SAME"
"6","15","0751","SAME","1741","SAME"
"6","16","0752","SAME","1741","SAME"
"6","17","0752","SAME","1741","SAME"
"6","18","0752","SAME","1741","SAME"
"6","19","0753","SAME","1741","SAME"
"6","20","0753","SAME","1741","SAME"
"6","21","0753","SAME","1741","SAME"
"6","22","0753","SAME","1742","SAME"
"6","23","0753","SAME","1742","SAME"
"6","24","0754","SAME","1742","SAME"
"6","25","0754","SAME","1742","SAME"
"6","26","0754","SAME","1743","SAME"
"6","27","0754","SAME","1743","SAME"
"6","28","0754","SAME","1743","SAME"
"6","29","0754","SAME","1744","SAME"
"6","30","0754","SAME","1744","SAME"
"7","1","0754","SAME","1745","SAME"
"7","2","0754","SAME","1745","SAME"
"7","3","0754","SAME","1746","SAME"
"7","4","0754","SAME","1746","SAME"
"7","5","0754","SAME","1747","SAME"
"7","6","0753","SAME","1747","SAME"
"7","7","0753","SAME","1748","SAME"
"7","8","0753","SAME","1748","SAME"
"7","9","0753","SAME","1749","SAME"
"7","10","0752","SAME","1749","SAME"
"7","11","0752","SAME","1750","SAME"
"7","12","0752","SAME","1750","SAME"
"7","13","0751","SAME","1751","SAME"
"7","14","0751","SAME","1752","SAME"
"7","15","0751","SAME","1752","SAME"
"7","16","0750","SAME","1753","SAME"
"7","17","0750","SAME","1753","SAME"
"7","18","0749","SAME","1754","SAME"
"7","19","0749","SAME","1755","SAME"
"7","20","0748","SAME","1755","SAME"
"7","21","0748","SAME","1756","SAME"
"7","22","0747","SAME","1757","SAME"
"7","23","0746","SAME","1757","SAME"
"7","24","0746","SAME","1758","SAME"
"7","25","0745","SAME","1759","SAME"
"7","26","0744","SAME","1800","SAME"
"7","27","0744","SAME","1800","SAME"
"7","28","0743","SAME","1801","SAME"
"7","29","0742","SAME","1802","SAME"
"7","30","0741","SAME","1802","SAME"
"7","31","0740","SAME","1803","SAME"
"8","1","0740","SAME","1804","SAME"
"8","2","0739","SAME","1805","SAME"
"8","3","0738","SAME","1805","SAME"
"8","4","0737","SAME","1806","SAME"
"8","5","0736","SAME","1807","SAME"
"8","6","0735","SAME","1808","SAME"
"8","7","0734","SAME","1808","SAME"
"8","8","0733","SAME","1809","SAME"
"8","9","0732","SAME","1810","SAME"
"8","10","0731","SAME","1810","SAME"
"8","11","0730","SAME","1811","SAME"
